time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
18.34,-0.01804403,-0.01804403,-0.1770119343
18.35,-0.01179801,-0.01179801,-0.1157384781
18.36,-0.005084714,-0.005084714,-0.04988104434
18.37,0.001676904,0.001676904,0.01645042824
18.38,0.007940831,0.007940831,0.07789955211
18.39,0.01279298,0.01279298,0.12549913380000002
18.400000000000002,0.01520397,0.01520397,0.1491509457
18.41,0.0144877,0.0144877,0.142124337
18.42,0.01047276,0.01047276,0.1027377756
18.43,0.003491974,0.003491974,0.03425626494
18.44,-0.005727843,-0.005727843,-0.05619013983
18.45,-0.01597901,-0.01597901,-0.1567540881
18.46,-0.02531566,-0.02531566,-0.2483466246
18.47,-0.03164559,-0.03164559,-0.3104432379
18.48,-0.03358547,-0.03358547,-0.3294734607
18.490000000000002,-0.03086694,-0.03086694,-0.3028046814
18.5,-0.02420946,-0.02420946,-0.2374948026
18.51,-0.01491617,-0.01491617,-0.1463276277
18.52,-0.004433806,-0.004433806,-0.043495636860000006
18.53,0.005830586,0.005830586,0.05719804866
18.54,0.01462208,0.01462208,0.1434426048
18.55,0.02099732,0.02099732,0.2059837092
18.56,0.0245261,0.0245261,0.240601041
18.57,0.02537493,0.02537493,0.24892806330000003
18.580000000000002,0.02417883,0.02417883,0.23719432229999998
18.59,0.02177045,0.02177045,0.21356811450000002
18.6,0.01880056,0.01880056,0.18443349360000003
18.61,0.0154565,0.0154565,0.151628265
18.62,0.01156246,0.01156246,0.11342773260000001
18.63,0.006835751,0.006835751,0.06705871731
18.64,0.001097823,0.001097823,0.01076964363
18.650000000000002,-0.005629375,-0.005629375,-0.055224168750000004
18.66,-0.01313749,-0.01313749,-0.12887877690000002
18.67,-0.02111382,-0.02111382,-0.2071265742
18.68,-0.0291938,-0.0291938,-0.286391178
18.69,-0.03687494,-0.03687494,-0.3617431614
18.7,-0.04359458,-0.04359458,-0.42766282980000003
18.71,-0.04896014,-0.04896014,-0.4802989734
18.72,-0.05289107,-0.05289107,-0.5188613967
18.73,-0.05561199,-0.05561199,-0.5455536219
18.740000000000002,-0.05753635,-0.05753635,-0.5644315935
18.75,-0.05911211,-0.05911211,-0.5798897991
18.76,-0.06067944,-0.06067944,-0.5952653064000001
18.77,-0.06210146,-0.06210146,-0.6092153226
18.78,-0.06239105,-0.06239105,-0.6120562005000001
18.79,-0.0601938,-0.0601938,-0.590501178
18.8,-0.05451878,-0.05451878,-0.5348292318000001
18.81,-0.04516179,-0.04516179,-0.44303715990000003
18.82,-0.03272128,-0.03272128,-0.3209957568
18.830000000000002,-0.01830018,-0.01830018,-0.1795247658
18.84,-0.003093592,-0.003093592,-0.030348137520000002
18.85,0.01195615,0.01195615,0.11728983150000001
18.86,0.02632919,0.02632919,0.2582893539
18.87,0.03991062,0.03991062,0.39152318220000004
18.88,0.05287293,0.05287293,0.5186834433
18.89,0.06540944,0.06540944,0.6416666064000001
18.900000000000002,0.07694337,0.07694337,0.7548144597
18.91,0.08593321,0.08593321,0.8430047901
18.92,0.09073886,0.09073886,0.8901482166000001
18.93,0.09046842,0.09046842,0.8874952002
18.94,0.08528763,0.08528763,0.8366716503000001
18.95,0.07611696,0.07611696,0.7467073776
18.96,0.06415065,0.06415065,0.6293178765
18.97,0.05053582,0.05053582,0.49575639420000006
18.98,0.03620556,0.03620556,0.3551765436
18.990000000000002,0.02211553,0.02211553,0.21695334930000001
19.0,0.00949845,0.00949845,0.09317979450000001
19.01,-0.0004353165,-0.0004353165,-0.004270454865
19.02,-0.006965419,-0.006965419,-0.06833076039
19.03,-0.01010197,-0.01010197,-0.0991003257
19.04,-0.01052228,-0.01052228,-0.10322356680000001
19.05,-0.009331197,-0.009331197,-0.09153904256999999
19.06,-0.007695215,-0.007695215,-0.07549005915000001
19.07,-0.006499522,-0.006499522,-0.06376031082
19.080000000000002,-0.006077219,-0.006077219,-0.059617518390000006
19.09,-0.005959754,-0.005959754,-0.05846518674000001
19.1,-0.005179204,-0.005179204,-0.05080799124
19.11,-0.003089545,-0.003089545,-0.03030843645
19.12,0.0001678489,0.0001678489,0.001646597709
19.13,0.003880237,0.003880237,0.03806512497
19.14,0.007331354,0.007331354,0.07192058274
19.150000000000002,0.01037207,0.01037207,0.1017500067
19.16,0.0134128,0.0134128,0.131579568
19.17,0.01704971,0.01704971,0.1672576551
19.18,0.02166697,0.02166697,0.2125529757
19.19,0.0272812,0.0272812,0.267628572
19.2,0.03361319,0.03361319,0.3297453939
